stimulus_id,n_constraints,delta_logit,l10h7_activation,l10h7_zscore
49,7,7.554165017954576,-0.033637382090091705,-0.12297369486081627
50,1,6.480695988077904,-0.009640093892812729,-0.06201977712998295
50,2,6.691941710135906,-0.01473353523761034,-0.08888322169699815
50,3,7.014930724905513,-0.023573586717247963,-0.13550675514268312
50,4,6.3246904930688,-0.02538660727441311,-0.14506885156026741
50,5,5.939957071620969,-0.02585591748356819,-0.14754405210444346
50,6,5.6936416781637575,-0.026076670736074448,-0.14870833227579502
50,7,5.503782066689363,-0.026426218450069427,-0.15055189049169987
51,1,7.395704520651622,-0.01676170527935028,-0.07315241817119826
51,2,7.19558560384602,-0.0338473878800869,-0.16010178278124454
51,3,6.197654262684266,-0.03724994510412216,-0.17741746138728595
51,4,5.803099298123477,-0.0407896488904953,-0.19543108146469804
51,5,5.608830083124783,-0.04343346506357193,-0.20888551239184555
51,6,5.594218843744784,-0.0461258590221405,-0.2225871565958279
51,7,5.532621236129869,-0.047900184988975525,-0.2316167352806596
52,1,10.81962371982574,-0.02411625161767006,-0.05826227096401563
52,2,11.023652224752077,-0.02869405969977379,-0.08213821426666175
52,3,10.645372423305774,-0.03239910304546356,-0.10146217963807218
52,4,10.687834127218435,-0.03474569320678711,-0.1137010181043106
52,5,10.173305288533108,-0.037869490683078766,-0.1299934467284948
52,6,9.988933473812994,-0.037951767444610596,-0.1304225681023547
52,7,9.781039830354864,-0.03680618852376938,-0.12444770483326328
53,1,4.981167340253218,-0.02322668954730034,-0.021688808145384115
53,2,5.802189873766866,-0.023686181753873825,-0.02406329148843005
53,3,5.829765016409071,-0.02391497604548931,-0.025245614554312304
53,4,5.3330917516472445,-0.027351517230272293,-0.04300437016370371
53,5,5.542587606022496,-0.028626251965761185,-0.04959172105435774
53,6,5.583026664744093,-0.029339447617530823,-0.05327724862421209
53,7,5.746170632022601,-0.029674172401428223,-0.05500698073391636
54,1,6.880678624105868,-0.013576824218034744,-0.008667548659776092
54,2,6.029941094753591,-0.013171883299946785,-0.006617946247912712
54,3,5.999473491082955,-0.01687832549214363,-0.02537804807320843
54,4,6.13996308478516,-0.020688846707344055,-0.044664944319724335
54,5,5.8146435532877465,-0.02191917411983013,-0.050892228151449496
54,6,5.965716506455508,-0.023108359426259995,-0.05691127182754871
54,7,5.523698800393947,-0.02634594962000847,-0.07329828626181417
55,1,9.716014774822796,-0.012564899399876595,-0.029029639781072734
55,2,9.914358806053652,-0.01713019236922264,-0.05309938446325791
55,3,9.544346431499608,-0.01964213326573372,-0.0663431732938402
55,4,9.339402160439827,-0.02230468951165676,-0.08038105639830725
55,5,9.18524954432797,-0.024151476100087166,-0.09011793023411085
55,6,8.971348538346469,-0.02530750446021557,-0.09621289668215496
55,7,8.6788033587924,-0.025826258584856987,-0.09894794116161978
56,1,7.34740050447907,-0.012559477239847183,-0.010734813496315613
56,2,8.097689965657727,-0.02000247687101364,-0.049171181550806325
56,3,7.897536089181926,-0.022884955629706383,-0.06405657990746358
56,4,7.547557199724869,-0.02394958958029747,-0.06955445232396569
56,5,7.088304479343123,-0.02709677629172802,-0.08580682808255338
56,6,7.173635937913755,-0.028702108189463615,-0.09409691685437149
56,7,6.917124539491838,-0.029753340408205986,-0.09952558143486245
57,1,7.676572438046737,-0.010110449977219105,-0.05960795665199289
57,2,8.020549226316511,-0.011744718998670578,-0.06821252074704529
57,3,9.649962506456493,-0.01402526069432497,-0.08021976492418176
57,4,9.610851975621317,-0.01801915466785431,-0.10124795320468583
57,5,9.508854385120973,-0.021485725417733192,-0.11949974028247963
57,6,9.579642307350397,-0.022699760273098946,-0.1258917360858049
57,7,9.440067986443648,-0.023238349705934525,-0.1287274548291215
58,1,3.9877450056211643,-0.020431291311979294,-0.06096660574503111
58,2,4.807482211560118,-0.02326887845993042,-0.07558419478226464
58,3,4.603492444102434,-0.027023127302527428,-0.09492388863597313
58,4,4.50690819052359,-0.032863568514585495,-0.12501042518362784
58,5,4.430741404624555,-0.03567273169755936,-0.13948159058092263
58,6,4.251858346961523,-0.03647265583276749,-0.14360233178102277
58,7,4.183526568617873,-0.03669941797852516,-0.14477047770326532
59,1,0.7818871204042949,-0.008561193943023682,-0.04107134390302687
